"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"19822","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23468","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19823","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23466","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
"19824","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23466","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19825","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23463","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","06-Mar-2024","shyam swaroop manufacturere","Payment Success","133930"
"19826","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23463","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","11-Sep-2024","shyam swaroop manufacturere","Payment Success","29343"
"19827","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23469","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","26-Feb-2024","shyam swaroop manufacturere","Payment Success","133930"
"19828","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/23469","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-Nov-2024","shyam swaroop manufacturere","Payment Success","29343"
"19829","Uttar Pradesh","Lighting of public spaces","WS/MP195/2025-2026/234951","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","24-Sep-2025","shyam swaroop manufacturere","Payment Success","705640"
"19830","Uttar Pradesh","Lighting of public spaces","WS/MP195/2025-2026/234951","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","27-Jan-2026","shyam swaroop manufacturere","Payment Success","236354"
"19831","Uttar Pradesh","Lighting of public spaces","WS/MP195/2025-2026/234950","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","13-Nov-2025","shyam swaroop manufacturere","Payment Success","705640"
