"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"13861","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP844/2025-2026/181030","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","17-Jul-2025","MANJINDER SINGH","Payment Success","35510"
"13862","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-May-2025","House Expert","Payment Success","31057"
"13863","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-May-2025","House Expert","Payment Success","49920"
"13864","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-May-2025","House Expert","Payment Success","46197"
"13865","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","25-Aug-2025","House Expert","Payment Success","48055"
"13866","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","25-Aug-2025","House Expert","Payment Success","46256"
"13867","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","25-Aug-2025","House Expert","Payment Success","48321"
"13868","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Oct-2025","House Expert","Payment Success","18585"
"13869","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Oct-2025","House Expert","Payment Success","49095"
"13870","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Oct-2025","House Expert","Payment Success","49504"
"13871","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Oct-2025","House Expert","Payment Success","35890"
"13872","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Oct-2025","House Expert","Payment Success","33847"
"13873","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Oct-2025","House Expert","Payment Success","52509"
"13874","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Oct-2025","House Expert","Payment Success","3364"
"13875","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-May-2025","CHANDRASHEKHAR","Payment Success","17600"
"13876","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","27-Mar-2025","CHANDRASHEKHAR","Payment Success","18400"
"13877","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Jun-2025","CHANDRASHEKHAR","Payment Success","17600"
"13878","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Jun-2025","UMESH SINGH","Payment Success","16800"
"13879","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","27-Mar-2025","UMESH SINGH","Payment Success","18400"
"13880","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-May-2025","UMESH SINGH","Payment Success","16800"
"13881","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-May-2025","BHUWAN CHANDRA","Payment Success","12600"
"13882","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","27-Mar-2025","BHUWAN CHANDRA","Payment Success","13800"
"13883","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Jun-2025","BHUWAN CHANDRA","Payment Success","12600"
"13884","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Jun-2025","UMESH SINGH","Payment Success","12600"
"13885","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","27-Mar-2025","UMESH SINGH","Payment Success","13800"
"13886","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SURENDRA SINGH","Payment Success","13800"
"13887","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-May-2025","SURENDRA SINGH","Payment Success","12000"
"13888","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Jun-2025","SURENDRA SINGH","Payment Success","12600"
"13889","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Jun-2025","ASHOK THAYAT","Payment Success","12600"
"13890","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-May-2025","ASHOK THAYAT","Payment Success","12600"
"13891","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","27-Mar-2025","ASHOK THAYAT","Payment Success","13800"
"13892","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","27-Mar-2025","INDRA PANDEY","Payment Success","13800"
"13893","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-May-2025","INDRA PANDEY","Payment Success","12600"
"13894","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2024-2025/156623","BAGESHWAR(DISTRICT MAGISTRATE BAGESHWAR_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","09-Jun-2025","INDRA PANDEY","Payment Success","12600"
"13895","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/103177","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","01-Aug-2024","SANTHANAM  K","Payment Success","904645"
"13896","Uttarakhand","Construction of community centers and community halls","WS/MP204/2024-2025/27289","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","04-Aug-2024","SUMAT PRASAD SATISH KUMAR JAIN","Payment Success","658140"
"13897","Uttarakhand","Construction of community centers and community halls","WS/MP204/2024-2025/27289","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","05-Aug-2024","SUMAT PRASAD SATISH KUMAR JAIN","Payment Success","341850"
"13898","Assam","Construction of rooms and halls in school and colleges","WS/MP831/2024-2025/132568","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","04-Oct-2024","R S ENTERPRISE","Payment Success","872224"
"13899","Assam","Construction of rooms and halls in school and colleges","WS/MP831/2024-2025/132568","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","09-Jan-2025","R S ENTERPRISE","Payment Success","875770"
"13900","Assam","Construction of rooms and halls in school and colleges","WS/MP831/2024-2025/132568","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","11-Feb-2025","R S ENTERPRISE","Payment Success","252006"
"13901","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2023-2024/1637","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","23-Sep-2025","amol traders","Payment Success","140100"
"13902","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2023-2024/75820","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","23-Aug-2024","Saurabha Kumar Nayak","Payment Success","400000"
"13903","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2023-2024/75821","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","06-Aug-2024","Saurabha Kumar Nayak","Payment Success","400000"
"13904","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2023-2024/75822","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","06-Aug-2024","Saurabha Kumar Nayak","Payment Success","400000"
"13905","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2024-2025/119132","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","07-Aug-2024","GRAM PANCHAYAT PALI CHOTI","Payment Success","350048"
"13906","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2024-2025/119131","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","07-Aug-2024","GRAM PANCHAYAT PALI CHOTI","Payment Success","350585"
"13907","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP889/2024-2025/140614","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","10-Mar-2025","VADA GRAM PANCHAYAT","Payment Success","400000"
"13908","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2024-2025/140613","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","10-Mar-2025","VADA GRAM PANCHAYAT","Payment Success","500000"
"13909","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/154665","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","13-Jun-2025","VADA GRAM PANCHAYAT","Payment Success","500000"
"13910","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/186663","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","15-Oct-2025","VADA GRAM PANCHAYAT","Payment Success","350000"
"13911","Nagaland","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP233/2024-2025/133818","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","02-Aug-2024","Y C Chingkap Konyak","Payment Success","12500000"
"13912","Nagaland","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP233/2024-2025/133818","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","21-Mar-2025","Y C Chingkap Konyak","Payment Success","12500000"
"13913","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP096/2025-2026/181261","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","23-Mar-2026","KELTRON","Payment Success","660000"
"13914","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP096/2025-2026/181264","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","27-Jun-2026","KELTRON","Payment Success","199933"
"13915","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/159376","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","22-Aug-2025","KELTRON","Payment Success","282256"
"13916","Kerala","Laptop/Computer","WS/MP099/2024-2025/133008","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","13-Feb-2025","KELTRON","Payment Success","282256"
"13917","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173241","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","282256"
"13918","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173571","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","176635"
"13919","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173365","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","282256"
"13920","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173366","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","282256"
"13921","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173569","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","282256"
"13922","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173568","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","282256"
"13923","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173554","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","04-Jul-2026","KELTRON","Payment Success","282256"
"13924","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173238","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","282256"
"13925","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173335","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","04-Jul-2026","KELTRON","Payment Success","282256"
