"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"56748","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2024-2025/140532","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","06-Nov-2024","RAJYA PARIVARTIT YOJNA GP MALDA","Payment Success","200000"
"56749","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP429/2024-2025/140532","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","04-Dec-2025","RAJYA PARIVARTIT YOJNA GP MALDA","Payment Success","200000"
"56750","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP429/2024-2025/144852","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","06-Nov-2024","RAJYA PRAWARTIT YOJNA G P BANJARI","Payment Success","200000"
"56751","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP351/2025-2026/154175","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Kumbakudi Sudhakaran","KANNUR","06-Mar-2026","V MATHAI","Payment Success","526392"
"56752","Kerala","Construction of rooms and halls in school and colleges","WS/MP347/2024-2025/138962","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri Suresh Kodikunnil","MAVELIKKARA(SC)","04-Nov-2024","HABEEBULLA S","Payment Success","317059"
"56753","Kerala","Construction of rooms and halls in school and colleges","WS/MP347/2024-2025/138962","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri Suresh Kodikunnil","MAVELIKKARA(SC)","11-Sep-2025","HABEEBULLA S","Payment Success","581298"
"56754","Kerala","Construction of rooms and halls in school and colleges","WS/MP347/2024-2025/138962","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri Suresh Kodikunnil","MAVELIKKARA(SC)","16-Apr-2026","HABEEBULLA S","Payment Success","438324"
"56755","Karnataka","Construction of community centers and community halls","WS/MP618/2025-2026/188567","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","30-Jan-2026","R S CHALAGERI","Payment Success","375000"
"56756","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18083/2025-2026/213258","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","04-Nov-2025","D K NIRMITHI KENDRA","Payment Success","1500000"
"56757","Karnataka","Construction of footpaths and pedestrian ways","WS/MP18083/2025-2026/213263","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","04-Nov-2025","D K NIRMITHI KENDRA","Payment Success","800000"
"56758","Karnataka","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18083/2025-2026/232029","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","18-Apr-2026","D K NIRMITHI KENDRA","Payment Success","1000000"
"56759","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP756/2026-2027/256383","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","14-Jul-2026","R Prabhu","Payment Success","728221"
"56760","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP756/2026-2027/256380","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","19-Jun-2026","R Prabhu","Payment Success","770866"
"56761","Telangana","Construction of boundary walls of existing public and community buildings","WS/MP761/2024-2025/144974","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Arvind Dharmapuri","NIZAMABAD","05-Nov-2024","NALLA MOHAN REDDY","Payment Success","495000"
"56762","Tamil Nadu","Construction of water tanks","WS/MP18394/2024-2025/148082","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","23-May-2025","K PULLIAPPAN AND CO","Payment Success","1085000"
"56763","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18394/2025-2026/213214","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","20-Dec-2025","K PULLIAPPAN AND CO","Payment Success","1500000"
"56764","Meghalaya","Construction of water tanks","WS/MP18137/2025-2026/185700","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","ANDREW J. SYNGKON","SHILLONG","12-Sep-2025","Nongtalang Mission Village Dorbar","Payment Success","150000"
"56765","Meghalaya","Construction of water tanks","WS/MP18137/2025-2026/185700","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","ANDREW J. SYNGKON","SHILLONG","09-Jan-2026","Nongtalang Mission Village Dorbar","Payment Success","150000"
"56766","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/173778","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","04-Dec-2025","Rajalaxmi Singh","Payment Success","220595"
"56767","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18391/2024-2025/140309","DIMAPUR(DEPUTY COMMISSIONER DIMAPUR_IDA)","S SUPONGMEREN JAMIR","NAGALAND","08-Nov-2024","ALEMWABANG JAMIR","Payment Success","2500000"
"56768","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18391/2024-2025/140309","DIMAPUR(DEPUTY COMMISSIONER DIMAPUR_IDA)","S SUPONGMEREN JAMIR","NAGALAND","06-Dec-2024","ALEMWABANG JAMIR","Payment Success","2000000"
"56769","Madhya Pradesh","Construction of culverts and bridges","WS/MP640/2026-2027/274745","SEONI(District Collector Seoni_IDA)","Faggan Singh Kulaste","MANDLA(ST)","26-Jun-2026","GRAM PANCHAYAT PUNGAR","Payment Success","375000"
"56770","Assam","Construction of culverts and bridges","WS/MP18020/2025-2026/253731","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","07-Mar-2026","BRAHMAPUTRA ENTERPRISE","Payment Success","252000"
"56771","Assam","Construction of culverts and bridges","WS/MP18020/2025-2026/253731","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","16-Jun-2026","BRAHMAPUTRA ENTERPRISE","Payment Success","108000"
"56772","Assam","Construction of culverts and bridges","WS/MP18020/2025-2026/253731","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","15-Jul-2026","BRAHMAPUTRA ENTERPRISE","Payment Success","104000"
"56773","Assam","Security gates in streets/public place for safety purpose","WS/MP18020/2025-2026/253737","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","12-May-2026","BRAHMAPUTRA ENTERPRISE","Payment Success","104101"
