"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"22917","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18372/2025-2026/221287","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Rao Rajendra Singh","JAIPUR RURAL","31-Oct-2025","MUKESH KUMAR MEENA","Payment Success","6270"
"22918","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18372/2025-2026/221287","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Rao Rajendra Singh","JAIPUR RURAL","31-Oct-2025","RAMOTAR MEENA","Payment Success","6270"
"22919","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/228438","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","01-Jan-2026","Ankit","Payment Success","7410"
"22920","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18372/2025-2026/221286","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Rao Rajendra Singh","JAIPUR RURAL","31-Oct-2025","TARACHAND VERMA","Payment Success","6270"
"22921","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/228438","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","01-Jan-2026","Manju Devi","Payment Success","10830"
"22922","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/228438","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","01-Jan-2026","Manoj Kumar","Payment Success","7410"
"22923","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18136/2025-2026/165694","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","AMAR SHARADRAO KALE","WARDHA","14-Nov-2025","FOR PRESIDENT VIJAY MAJOOR SAHAKARI SANSTHA","Payment Success","1195809"
"22924","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18372/2025-2026/221286","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Rao Rajendra Singh","JAIPUR RURAL","31-Oct-2025","UMASHANKAR SAIN","Payment Success","6270"
"22925","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18372/2025-2026/221286","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Rao Rajendra Singh","JAIPUR RURAL","31-Oct-2025","BHAGWAN SAHAY","Payment Success","6270"
"22926","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18372/2025-2026/221286","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Rao Rajendra Singh","JAIPUR RURAL","31-Oct-2025","GIRRAJ PRASAD","Payment Success","4275"
"22927","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/177525","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","04-Nov-2025","BISHT CONSTRUCTION","Payment Success","148374"
"22928","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP021/2025-2026/177529","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","04-Nov-2025","BISHT CONSTRUCTION","Payment Success","72193"
"22929","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/189663","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","30-Oct-2025","BISHT CONSTRUCTION","Payment Success","100307"
"22930","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2025-2026/198343","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Midhun Reddy","RAJAMPET","07-Apr-2026","ABBAVARAM MALLIKARJUNA REDDY","Payment Success","89728"
"22931","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2025-2026/198362","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Midhun Reddy","RAJAMPET","07-Apr-2026","ABBAVARAM MALLIKARJUNA REDDY","Payment Success","137336"
"22932","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2025-2026/198353","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Midhun Reddy","RAJAMPET","07-Apr-2026","ABBAVARAM MALLIKARJUNA REDDY","Payment Success","33990"
"22933","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2025-2026/198341","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Midhun Reddy","RAJAMPET","25-Dec-2025","ABBAVARAM MALLIKARJUNA REDDY","Payment Success","129805"
"22934","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2025-2026/198365","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Midhun Reddy","RAJAMPET","25-Dec-2025","ABBAVARAM MALLIKARJUNA REDDY","Payment Success","49649"
"22935","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2025-2026/198351","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Midhun Reddy","RAJAMPET","25-Dec-2025","ABBAVARAM MALLIKARJUNA REDDY","Payment Success","54859"
"22936","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2025-2026/198364","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Midhun Reddy","RAJAMPET","25-Dec-2025","ABBAVARAM MALLIKARJUNA REDDY","Payment Success","129805"
"22937","Tamil Nadu","Providing supply pipelines for drinking water","WS/MP18177/2025-2026/156817","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K E PRAKASH","ERODE","17-Oct-2025","R UDHAYAKUMAR","Payment Success","112000"
"22938","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18060/2025-2026/215434","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","VARUN CHAUDHRY","AMBALA (SC)","17-Nov-2025","The karma Co op L and C Society Ltd","Payment Success","159204"
"22939","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18060/2025-2026/215434","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","VARUN CHAUDHRY","AMBALA (SC)","24-Jun-2026","The karma Co op L and C Society Ltd","Payment Success","12081"
"22940","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18239/2025-2026/224407","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","15-Oct-2025","MK INFRATECH","Payment Success","657641"
"22941","Karnataka","Construction of community centers and community halls","WS/MP18086/2025-2026/168334","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","SHREYAS. M. PATEL","HASSAN","03-Feb-2026","Chikmagalur Nirmithi Kendra","Payment Success","750000"
"22942","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/224489","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","16-Oct-2025","MK INFRATECH","Payment Success","297306"
"22943","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/224489","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Apr-2026","MK INFRATECH","Payment Success","105694"
"22944","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/214723","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","16-Oct-2025","MK INFRATECH","Payment Success","297306"
"22945","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/214725","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","16-Oct-2025","MK INFRATECH","Payment Success","297306"
"22946","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/214718","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","16-Oct-2025","MK INFRATECH","Payment Success","297306"
"22947","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/214718","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","15-Apr-2026","MK INFRATECH","Payment Success","105694"
"22948","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/214703","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","16-Oct-2025","MK INFRATECH","Payment Success","297306"
"22949","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/214703","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","16-May-2026","MK INFRATECH","Payment Success","105694"
"22950","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/214704","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","16-Oct-2025","MK INFRATECH","Payment Success","297306"
"22951","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/214704","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","16-May-2026","MK INFRATECH","Payment Success","105694"
"22952","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18239/2025-2026/214916","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","16-Oct-2025","MK INFRATECH","Payment Success","657641"
"22953","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/214665","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","16-Oct-2025","MK INFRATECH","Payment Success","297306"
"22954","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/214665","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Apr-2026","MK INFRATECH","Payment Success","105694"
"22955","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/214666","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","16-Oct-2025","MK INFRATECH","Payment Success","297306"
"22956","Uttar Pradesh","Installing community drinking water plants","WS/MP18239/2025-2026/214666","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","20-Apr-2026","MK INFRATECH","Payment Success","105694"
"22957","Uttar Pradesh","Construction of bus-sheds or bus-stops","WS/MP18239/2025-2026/224406","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","ZIA UR REHMAN","SAMBHAL","16-Oct-2025","MK INFRATECH","Payment Success","657641"
"22958","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18270/2026-2027/258746","BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA)","DR RAJKUMAR SANGWAN","BAGHPAT","03-Jul-2026","VARUN KUMAR CONTRACTORS","Payment Success","463673"
"22959","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18270/2026-2027/250084","BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA)","DR RAJKUMAR SANGWAN","BAGHPAT","03-Jul-2026","VARUN KUMAR CONTRACTORS","Payment Success","769025"
"22960","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18270/2026-2027/250081","BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA)","DR RAJKUMAR SANGWAN","BAGHPAT","03-Jul-2026","VARUN KUMAR CONTRACTORS","Payment Success","554670"
"22961","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18270/2026-2027/250082","BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA)","DR RAJKUMAR SANGWAN","BAGHPAT","03-Jul-2026","VARUN KUMAR CONTRACTORS","Payment Success","402650"
"22962","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP18336/2025-2026/221881","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","BRIJMOHAN AGRAWAL","RAIPUR","11-Dec-2025","Gram Panchayat Maloud","Payment Success","250000"
"22963","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18089/2025-2026/191443","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","30-Oct-2025","LAKSHMAN","Payment Success","375000"
"22964","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18089/2025-2026/191443","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","16-Dec-2025","LAKSHMAN","Payment Success","116968"
"22965","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/221618","SOUTH WEST GARO HILLS(DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA)","SALENG A SANGMA","TURA","19-Nov-2025","Learmildford A Sangma","Payment Success","200000"
"22966","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/221618","SOUTH WEST GARO HILLS(DEPUTY COMMISSIONER SOUTH WEST GARO HILLS AMPATI_IDA)","SALENG A SANGMA","TURA","17-Apr-2026","Learmildford A Sangma","Payment Success","200000"
"22967","Arunachal Pradesh","Providing drains and gutters for public drainage","WS/MP533/2025-2026/226199","PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA)","Kiren Rijiju","ARUNACHAL WEST","17-Oct-2025","RINGU KAYUM","Payment Success","500000"
"22968","Arunachal Pradesh","Providing drains and gutters for public drainage","WS/MP533/2025-2026/226200","PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA)","Kiren Rijiju","ARUNACHAL WEST","18-Oct-2025","PANEY YANA","Payment Success","400000"
"22969","Arunachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP533/2025-2026/226203","PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA)","Kiren Rijiju","ARUNACHAL WEST","18-Oct-2025","CHELLO YACHAP","Payment Success","400000"
"22970","West Bengal","Street lights","WS/MP243/2025-2026/189464","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Kakoli Ghosh Dastidar","BARASAT","17-Oct-2025","HABIBUR RAHMAN","Payment Success","499996"
"22971","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18355/2025-2026/158354","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","29-Oct-2025","SBRS INFRASTRUCTURE","Payment Success","903196"
"22972","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18355/2025-2026/158354","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","SHOBHA KARANDLAJE","BANGALORE NORTH","28-Apr-2026","SBRS INFRASTRUCTURE","Payment Success","324564"
"22973","Arunachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP533/2025-2026/226205","PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA)","Kiren Rijiju","ARUNACHAL WEST","18-Oct-2025","PANEY AKASH","Payment Success","500000"
"22974","Chhattisgarh","Construction of culverts and bridges","WS/MP18354/2025-2026/158617","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","14-Nov-2025","GRAM PANCHAYAT DEVDHI","Payment Success","149903"
"22975","Chhattisgarh","Construction of culverts and bridges","WS/MP18354/2025-2026/158617","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","11-Jun-2026","GRAM PANCHAYAT DEVDHI","Payment Success","149353"
"22976","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2025-2026/198096","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","16-Oct-2025","GRAM PANCHAYAT VASNA","Payment Success","200000"
"22977","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2025-2026/198094","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","16-Oct-2025","GRAM PANCHAYAT VASNA","Payment Success","25000"
"22978","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/236753","EAST GARO HILLS(DEPUTY COMMISSIONER EAST GARO HILLS WILLIAMNAGAR_IDA)","SALENG A SANGMA","TURA","14-Nov-2025","SRI RAKHAN G MOMIN","Payment Success","250000"
"22979","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/236753","EAST GARO HILLS(DEPUTY COMMISSIONER EAST GARO HILLS WILLIAMNAGAR_IDA)","SALENG A SANGMA","TURA","17-Dec-2025","SRI RAKHAN G MOMIN","Payment Success","250000"
"22980","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/199562","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","29-Oct-2025","PALODAR GRAM PANCHAYAT","Payment Success","200000"
"22981","Arunachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP533/2025-2026/226039","PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA)","Kiren Rijiju","ARUNACHAL WEST","17-Oct-2025","TARH YATU","Payment Success","400000"
"22982","Arunachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP533/2025-2026/226040","PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA)","Kiren Rijiju","ARUNACHAL WEST","17-Oct-2025","TARH SINIA","Payment Success","400000"
"22983","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/178186","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","29-Oct-2025","CHARADU GRAMPANCHAYAT","Payment Success","100000"
"22984","Arunachal Pradesh","Providing drains and gutters for public drainage","WS/MP533/2025-2026/226204","PAPUM PARE(DEPUTY COMMISSIONER PAPUM PARE_IDA)","Kiren Rijiju","ARUNACHAL WEST","18-Oct-2025","TARH YAMA","Payment Success","400000"
"22985","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18219/2025-2026/198024","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","AJENDRA SINGH LODHI","HAMIRPUR_UP","28-Feb-2026","Chandrabhan Singh Convent Schooll","Payment Success","1199595"
"22986","Uttar Pradesh","Construction of shelters for animals","WS/MP18233/2025-2026/218172","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","PRAVEEN PATEL","PHULPUR","18-Dec-2025","SUBH ENTERPRISES","Payment Success","1517420"
"22987","Uttar Pradesh","Construction of shelters for animals","WS/MP18233/2025-2026/218172","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","PRAVEEN PATEL","PHULPUR","18-Dec-2025","SUBH ENTERPRISES","Payment Success","1196367"
"22988","Uttar Pradesh","Construction of shelters for animals","WS/MP18233/2025-2026/218172","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","PRAVEEN PATEL","PHULPUR","23-Mar-2026","SUBH ENTERPRISES","Payment Success","334641"
